"id","Name","Measure","Measure.Info","Geo.Type.Name","PM.Levels","Borough","Year","decade","population"
179772,"Boiler Emissions- Total SO2 Emissions","Number per km2","number","UHF42",0.3,"Queens","2015",2010,2250002
179785,"Boiler Emissions- Total SO2 Emissions","Number per km2","number","UHF42",1.2,"Brooklyn","2015",2010,2552911
178540,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",8.6,"Brooklyn","2012",2010,2552911
178561,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",8,"Queens","2012",2010,2250002
823217,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",6.1,"Queens","2022",2020,2330295
177910,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",10,"Brooklyn","2012",2010,2552911
177952,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",9.8,"Brooklyn","2013",2010,2552911
177973,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",9.8,"Queens","2013",2010,2250002
177931,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",9.6,"Queens","2012",2010,2250002
742274,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",7.2,"Queens","2021",2020,2330295
178582,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",8.2,"Brooklyn","2013",2010,2552911
178583,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",8.1,"Brooklyn","2013",2010,2552911
547477,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",6.8,"Queens","2017",2010,2250002
547417,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",6.8,"Brooklyn","2017",2010,2552911
177784,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",10.6,"Brooklyn","2009",2000,2465326
547414,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",7.1,"Brooklyn","2017",2010,2552911
130413,"Boiler Emissions- Total SO2 Emissions","Number per km2","number","UHF42",0.9,"Brooklyn","2013",2010,2552911
130412,"Boiler Emissions- Total SO2 Emissions","Number per km2","number","UHF42",1.7,"Brooklyn","2013",2010,2552911
130434,"Boiler Emissions- Total SO2 Emissions","Number per km2","number","UHF42",0,"Queens","2013",2010,2250002
410847,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",6.9,"Queens","2016",2010,2250002
177889,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",10.8,"Queens","2011",2010,2250002
177932,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",9.4,"Queens","2012",2010,2250002
410782,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",7.1,"Brooklyn","2016",2010,2552911
177974,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",9.5,"Queens","2013",2010,2250002
410848,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",6,"Queens","2016",2010,2250002
823218,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",6.4,"Queens","2021",2020,2330295
176692,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",18.6,"Brooklyn","2013",2010,2552911
549806,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",17.7,"Brooklyn","2017",2010,2552911
175369,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",25.7,"Queens","2010",2010,2250002
175915,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",16.1,"Queens","2009",2000,2229379
549872,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",12.7,"Queens","2017",2010,2250002
741006,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",11.4,"Queens","2021",2020,2330295
175916,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",8.6,"Queens","2009",2000,2229379
336603,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",20.7,"Queens","2014",2010,2250002
178542,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",9.7,"Brooklyn","2012",2010,2552911
177912,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",12.3,"Brooklyn","2012",2010,2552911
177954,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",12.2,"Brooklyn","2013",2010,2552911
334047,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",8.8,"Queens","2014",2010,2250002
177772,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",10.4,"Bronx","2009",2000,1332650
742215,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",7.2,"Brooklyn","2021",2020,2648452
742257,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",6.3,"Queens","2021",2020,2330295
178588,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",10.4,"Manhattan","2013",2010,1585873
177244,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",14.4,"Manhattan","2010",2010,1585873
410828,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",7.4,"Queens","2015",2010,2250002
177856,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",11.5,"Bronx","2011",2010,1385108
823275,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",7.4,"Brooklyn","2021",2020,2648452
177916,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",11.4,"Manhattan","2012",2010,1585873
410800,"Fine particles (PM 2.5)","Mean","mcg/m3","UHF42",8.5,"Manhattan","2016",2010,1585873
