song_name,album,release_date,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.00942,0.757,0.61,3.66E-05,0.367,-4.84,0.0327,116.998,0.685,70
Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.0885,0.733,0.733,0,0.168,-5.376,0.067,96.057,0.701,71
Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.000421,0.511,0.822,0.0197,0.0899,-4.785,0.0397,94.868,0.305,72
Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.000537,0.545,0.885,5.59E-05,0.385,-5.968,0.0447,92.021,0.206,71
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.000656,0.588,0.721,0,0.131,-5.579,0.0317,96.997,0.52,70
Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.0121,0.636,0.808,2.18E-05,0.359,-5.693,0.0729,160.058,0.917,69
I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.00354,0.67,0.858,1.25E-05,0.0687,-6.528,0.0439,118.009,0.539,69
Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.0362,0.618,0.683,0,0.305,-6.438,0.194,169.971,0.363,68
Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.0436,0.589,0.674,7.18E-05,0.112,-7.48,0.0656,139.985,0.514,69
How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.00196,0.758,0.691,1.09E-05,0.0939,-5.798,0.0515,119.997,0.538,68
This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.316,0.471,0.509,0,0.0673,-8.796,0.0355,144.071,0.0567,67
I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.0999,0.582,0.788,0,0.115,-5.358,0.0445,160.027,0.652,69
Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.25,0.772,0.391,2.92E-05,0.0981,-8.892,0.0293,103.955,0.258,69
Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.00976,0.464,0.705,2.61E-05,0.209,-5.97,0.0434,183.892,0.385,68
You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.61,0.363,0.498,3.91E-06,0.112,-9.473,0.0755,84.68,0.477,69
New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.00675,0.649,0.846,4.63E-06,0.0824,-5.958,0.0602,121.978,0.698,69
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],10/27/23,0.309,0.591,0.412,0.000199,0.0608,-13.27,0.0863,155.875,0.328,73
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],10/27/23,0.066,0.633,0.551,9.94E-06,0.127,-8.297,0.0341,109.95,0.164,72
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],10/27/23,0.16,0.8,0.501,7.14E-05,0.0874,-9.332,0.034,110.013,0.0831,73
Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],10/27/23,0.207,0.701,0.625,0,0.105,-8.804,0.036,118.036,0.323,70
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],10/27/23,0.041,0.595,0.656,0,0.122,-7.343,0.037,99.994,0.191,76
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/23,0.0104,0.602,0.648,0,0.217,-6.905,0.103,170.091,0.174,78
Welcome To New York (Taylor's Version),1989 (Taylor's Version),10/26/23,0.00961,0.761,0.607,2.24E-05,0.367,-4.83,0.0312,116.98,0.674,80
Blank Space (Taylor's Version),1989 (Taylor's Version),10/26/23,0.0976,0.737,0.725,0,0.174,-5.417,0.0641,96.012,0.755,85
Style (Taylor's Version),1989 (Taylor's Version),10/26/23,0.000418,0.575,0.824,0.0214,0.0901,-4.823,0.038,94.971,0.292,86
Out Of The Woods (Taylor's Version),1989 (Taylor's Version),10/26/23,0.000512,0.547,0.885,9.37E-05,0.39,-5.961,0.0418,91.992,0.192,82
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),10/26/23,0.000718,0.586,0.72,0,0.0949,-5.556,0.035,97.057,0.481,79
Shake It Off (Taylor's Version),1989 (Taylor's Version),10/26/23,0.0103,0.632,0.807,1.27E-05,0.29,-5.676,0.0738,160.055,0.921,82
I Wish You Would (Taylor's Version),1989 (Taylor's Version),10/26/23,0.00357,0.669,0.851,1.04E-05,0.0676,-6.526,0.0432,118.026,0.541,78
Bad Blood (Taylor's Version),1989 (Taylor's Version),10/26/23,0.0385,0.619,0.686,0,0.307,-6.369,0.164,169.943,0.364,78
Wildest Dreams (Taylor's Version),1989 (Taylor's Version),10/26/23,0.0411,0.581,0.672,9.35E-05,0.118,-7.415,0.0739,140.061,0.514,83
How You Get The Girl (Taylor's Version),1989 (Taylor's Version),10/26/23,0.00209,0.754,0.682,9.88E-06,0.0941,-5.789,0.0565,120.027,0.547,76
This Love (Taylor's Version),1989 (Taylor's Version),10/26/23,0.299,0.474,0.511,0,0.0673,-8.766,0.0339,144.022,0.0586,76
I Know Places (Taylor's Version),1989 (Taylor's Version),10/26/23,0.087,0.575,0.803,0,0.0971,-5.393,0.0465,160.039,0.68,76
Clean (Taylor's Version),1989 (Taylor's Version),10/26/23,0.276,0.771,0.386,2.01E-05,0.121,-8.917,0.0297,103.96,0.239,79
Wonderland (Taylor's Version),1989 (Taylor's Version),10/26/23,0.00933,0.462,0.708,1.88E-05,0.198,-5.971,0.0555,183.811,0.337,76
You Are In Love (Taylor's Version),1989 (Taylor's Version),10/26/23,0.609,0.537,0.495,2.49E-06,0.112,-9.416,0.0573,84.948,0.492,76
New Romantics (Taylor's Version),1989 (Taylor's Version),10/26/23,0.0068,0.651,0.855,9.81E-06,0.0759,-5.959,0.0538,121.98,0.698,82
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),10/26/23,0.345,0.629,0.413,7.62E-05,0.0603,-13.178,0.055,77.983,0.306,87
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),10/26/23,0.0656,0.626,0.547,1.67E-05,0.149,-8.285,0.0342,109.946,0.192,83
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),10/26/23,0.186,0.793,0.512,3.81E-05,0.0889,-9.319,0.0338,109.994,0.0662,87
Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),10/26/23,0.198,0.699,0.621,0,0.104,-8.739,0.0369,118.048,0.344,78
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),10/26/23,0.0504,0.596,0.658,0,0.127,-7.346,0.036,100.012,0.176,91
Mine (Taylor's Version),Speak Now (Taylor's Version),7/7/23,0.00444,0.646,0.783,1.38E-06,0.171,-2.846,0.0356,121.08,0.49,82
Sparks Fly (Taylor's Version),Speak Now (Taylor's Version),7/7/23,0.0251,0.588,0.758,0,0.131,-2.347,0.0305,114.991,0.387,78
